IUCA,Texto Consulta Usuario
42,"Si mi local es alquilado, ¿debo presentar el contrato de alquiler para mostrar que será el domicilio fiscal?"
136,¿Cómo puedo tomar el saldo de los pagos hechos erróneamente?
136,¿cómo solicito que reconsideren pagos imputados por error?
136,¿Puedo reafectar pagos de más hechos anteriormente?
136,¿qué hago para reafectar pagos imputados por equivocación?
136,"El pago erróneamente imputado, ¿cómo se puede reafectar?"
136,"El pago imputado por error, ¿Se puede reafectar?"
123,¿Cómo gestiono el débito automático para el pago del monotributo?
123,¿Cómo me adhiero al débito automático de mi cuenta bancaria?
123,¿Cómo puedo hacer para pagar el monotributo con débito automático?
124,¿Cómo me adhiero al débito automático de mi tarjeta de crédito?
124,¿Cómo pago el monotributo con la tarjeta de crédito?
124,¿Cómo puedo pagar mensualmente con mi tarjeta de crédito?
67,¿Cómo puedo agregar a una persona a la obra social?
67,¿Cuáles son los requisitos para ingresar una persona a la obra social?
67,¿Puedo agregar a un adherente a la obra social en cualquier momento?
67,¿Puedo incorporar un adherente a la obra social desde la web de AFIP?
67,¿Qué debo hacer si quiero agregar a alguien a la obra social?
67,"Si quiero ingresar un integrante de mi familia a la obra social, ¿qué debo hacer?"
16,¿Debo tomar sólo una actividad como referencia para la categorización?
16,¿Qué ingresos tengo que tener en cuenta si realizo más de una actividad?
16,"En caso de realizar más de una actividad, ¿en base a cuál determino la categorización?"
16,Si estoy inscripto en varias actividades ¿La categorización es una sola o por actividad?
16,Si realizo varias actividades ¿cómo me categorizo?
69,"¿Cómo seguir si pasados los 30 días de haber realizado el cambio del domicilio mediante el servicio ""Sistema Registral"", no se recibe el código de confirmación?"
69,¿El cambio de domicilio está concluido por más que no haya recibido un código de confirmación?
69,¿Puedo volver a informar el cambio de domicilio si aún no recibí el código de confirmación?
69,"¿Qué se debe hacer si pasados los 30 días de haber realizado el cambio del domicilio mediante el servicio ""Sistema Registral"", no se recibe el código de confirmación?"
69,"Para el caso de una persona que realizó el cambio del domicilio mediante el servicio ""Sistema Registral"" y luego de 30 días, ¿Cómo se debe proceder si  no se recibe el código? "
69,"Si una persona llevó a cabo el cambio del domicilio mediante el servicio ""Sistema Registral"" y después de 30 días, ¿Qué se debe hacer si  no se recibe el código de confirmación?"
119,¿Cómo pago vencido el mes de monotributo?
119,¿Cómo se pagan los intereses por el mes vencido?
119,¿Cómo tengo que hacer si se venció mi monotributo y no lo pagué?
127,¿Cómo tengo que hacer para pagar las cargas sociales de los empleados?
127,¿Las cargas sociales de mis empleados se pagan a través de la web de AFIP?
127,¿Qué opciones hay para pagar las cargas sociales de los empleados?
120,¿Cómo tengo que pagar los intereses porque pagué fuera de término el monotributo?
120,¿De dónde saco el valor de los intereses por pago fuera de término?
120,¿Debo pagar intereses por abonar el Monotributo fuera de término?
46,¿Cómo debo hacer si quiero declarar una actividad?
46,¿Cómo tengo que hacer para inscribir mi actividad?
46,¿Desde qué servicio de AFIP ingreso mi actividad económica?
46,¿Qué debo hacer para declarar mis actividades económicas?
46,¿Qué necesito para inscribir mi actividad económica?
46,¿Qué pasos debo seguir para declarar mi actividad económica?
56,¿Cuáles son los pasos para hacer un traspaso de responsable inscripto a monotributista?
56,¿Cuáles son los requisitos a tramitar para cambiar de responsable inscripto a monotributista?
56,¿Debo dar de baja al impuesto a las ganancias si me transfiero de responsable inscripto a monotributista? ¿Cómo?
56,¿Qué debo hacer si quiero pasarme a monotributista siendo responsable inscripto?
56,¿Qué pasos debo seguir para cambiar de Régimen General a Régimen Simplificado?
56,Si soy Responsable Inscripto y deseo cambiarme al Monotributo ¿Cómo tengo que hacer?
63,¿Cómo informo un inicio de relación de dependencia en el Monotributo?
63,¿Debo modificar los datos de mi monotributo si comencé a trabajar en relación de dependencia?
63,¿Un monotributista debe cambiar de situación si ahora es empleado en relación de dependencia?
63,Si comencé a ser empleado en relación de dependencia ¿Debo informarlo en mi Monotributo?
63,Si inicié una relación de dependencia ¿Debe realizar algún trámite mi empleador?
63,"Si tengo un monotributo, debo modificar los datos si quiero iniciar una relación de dependencia?"
64,¿Cómo es el trámite para informar que me jubilé?
64,¿Cómo informo sobre mi jubilación en mi monotributo?
64,¿Cómo una persona debe modificar los datos de monotributo si ahora es jubilado?
64,Para continuar con la actividad y el monotributo habiéndome jubilado ¿cómo puedo hacerlo?
64,Si me jubilo y sigo con mi actividad ¿Debo informarlo en Mi Monotributo?
64,"Si una persona se jubila pero aún continúa con la actividad, ¿Debe cambiar algo en su monotributo?"
65,¿Cómo modifico los datos del monotributo para indicar los aportes en una caja previsional provincial?
65,¿Debo modificar mi monotributo en caso de hacer aportes a una caja previsional de la provincia?
65,¿Influye en mi monotributo si comienzo a aportar a una caja previsional provincial?
65,¿Qué trámites tengo que hacer para informar a mi monotributo los aportes en una caja previsional provincial?
65,"Si empiezo a aportar en una caja previsional provincial, ¿tengo que informarlo en el monotributo?"
65,"Si estoy obligado a aportar en una caja previsional de la provincia, ¿cómo informo mi situación al monotributo?"
84,¿Cómo me entero que fui recategorizado de oficio?
84,¿Cómo me notifica AFIP de una recategorización de oficio?
84,¿Cómo se lleva a cabo la notificación para la recategorización de oficio cuando sea por controles sistémicos?
84,¿De qué manera se notifica la recategorización de oficio cuando sea por controles sistémicos?
84,"En caso de  controles sistémicos, ¿ De qué manera se notifica la recategorización de oficio?"
84,"En caso de  controles sistémicos, ¿Cómo se lleva a cabo la notificación para la recategorización de oficio?"
128,¿Cómo pido el reintegro del componente impositivo?
128,¿Cómo solicito la devolución del componente impositivo?
128,¿En qué casos me reintegran el componente impositivo?
128,¿Qué hago para que reintegren el componente impositivo?
128,¿Qué requisitos debo cumplir para que me reitegren el componente impositivo?
128,¿Qué significa el reintegro del componente impositivo?
128,¿Qué trámite hago para conseguir el componente impositivo?
135,¿Cómo puedo regularizar la deuda de Monotributo de períodos posteriores a julio de 2004?
135,¿Cómo regularizo la deuda del monotributo de los períodos posteriores a julio de 2004?
135,¿Cómo se debe regularizar la deuda de monotributo de períodos posteriores a 07/2004?
135,"Para regularizar deuda de monotributo de 07 del año 2004, ¿cómo procedo?"
135,"Tengo deuda de monotributo de 2005 en adelante, ¿cómo la regularizo?"
135,"Tengo que pagar los periodos de monotributo de 2005 en adelante, ¿cómo hago?"
62,¿Cómo informo un cambio de actividad?
62,¿Debo informar cada vez que cambio de actividad?
62,¿En qué casos considera AFIP que cambié mi actividad?
62,¿Qué trámite debo hacer para cambiar de actividad?
62,"Para cambiar de actividad, ¿qué necesito hacer?"
62,Si cambio mi actividad ¿Tengo que informarle a AFIP?
62,"Si quiero cambiar de actividad, ¿cómo lo informo?"
68,¿Cómo se modifica la dirección?
68,¿Cómo se procede para cambiar la dirección?
68,¿Cómo se puede cambiar el domicilio ?
68,¿De qué manera se modifica el domicilio ?
68,¿Debo presentar algún formulario para notificar un cambio de domicilio?
68,¿El cambio de domicilio se realiza online?
66,¿Cómo puedo hacer para cambiar de obra social?
66,¿Puedo hacer el cambio de obra social de manera online?
66,¿Qué debo hacer para tramitar un cambio de obra social?
66,¿Qué tengo hacer si quiero cambiar de obra social?
66,¿Qué trámite debo hacer si cambio mi obra social?
66,Para cambiar de obra social ¿una persona monotributista puede hacerlo desde la web?
52,"¿Cuál es el trámite de alta que debe realizar un asociado de una Cooperativa de Trabajo?"
52,¿Me puedo dar de alta al monotributo estando asociado a una cooperativa de trabajo?
52,"¿Puedo inscribirme online en caso de ser asociado a Cooperativa de Trabajo?"
52,¿Un asociado a cooperativas de trabajo puede adherirse al monotributo?
52,Si soy asociado de una Cooperativa de Trabajo ¿Cómo me doy de alta en el Monotributo? 
52,"Siendo asociado a cooperativas de trabajo, ¿me puedo inscribir a un monotributo?"
61,¿Cómo sacar a una persona de la obra social?
61,¿Puedo dar de baja a una persona de la Obra Social desde Mi Monotributo?
61,¿Puedo modificar datos de mis adherentes de la Obra Social desde la web de AFIP?
61,¿Qué tengo que hacer para dar de baja a un integrante de la Obra Social?
61,"Para dar de baja a una persona de mi obra social, ¿a dónde debo dirigirme?"
61,"Para sacar alguien de la obra social, ¿qué debo hacer?"
61,"Si quiero dar de baja a una persona de mi obra social, ¿cómo puedo hacerlo?"
70,¿Cómo me recategorizo?
70,¿Cuáles son los pasos  para realizar la recategorización?
70,¿Cuáles son los pasos para recategorizarme? 
70,¿De qué forma se realiza la recategorización?
70,¿De qué manera se lleva a cabo la recategorización?
70,¿De qué manera se realiza la recategorización?
70,¿La recategorización se puede hacer de manera online?
134,"¿Cómo imprimo la credencial de pago?"
134,¿Cómo puedo volver a imprimir la credencial de pago?
134,¿Cómo reimprimo la credencial de pago?
134,"¿Puedo imprimir la credencial de pago desde la web de AFIP?"
134,"Necesito la credencial de pago, ¿Cómo la obtengo?"
134,"Tengo que re-imprimir la credencial de pago, ¿cómo hago?"
2,¿Cómo dejo de ser Monotributista?
2,¿Cómo es el procedimiento para darme de baja del Monotributo?
2,¿Cómo hago para darme de baja?
2,¿Cuáles son los pasos para darme de baja en el monotributo?
2,¿Qué tengo que hacer para darme de baja?
48,¿Cuáles son las posibilidades de aportes jubilatorios que tienen los monotributistas?
48,¿Debo seleccionar una opción para aportes de jubilación? ¿Cuál me corresponde?
48,¿Qué opción para aporte jubilatorio debo ingresar?
48,¿Qué opciones tengo para elegir en cuanto al aporte jubilatorio?
48,¿Todos los monotributistas deben realizar aportes de jubilación?
48,"Cómo monotributista, ¿que opciones tengo para los aportes de jubilación?"
41,¿Cuál es mi domicilio Fiscal?
41,¿Debo tener sí o sí un domicilio fiscal?
41,¿Domicilio fiscal es el lugar donde realizado mi actividad comercial?
41,¿Es lo mismo domicilio fiscal que real?
41,¿Puede ser el domicilio fiscal igual que el domicilio real?
41,¿Qué diferencia hay entre domicilio fiscal y real?
41,¿Qué significa domicilio fiscal?
41,¿Qué sucede con mi domicilio fiscal si no tengo un local fijo donde poner mi comercio?
41,"Si no tengo lugar fijo para mi comercio, ¿puedo poner como domicilio fiscal el domicilio donde vivo?"
27,¿Hay un límite superior para la venta de productos por unidad?
27,¿Hay un precio máximo unitario para venta de productos?
27,¿Hay un tope máximo en el precio por unidad?
27,Cuando se vende ¿existe un precio máximo unitario a tener en cuenta?
27,Si soy monotributista ¿tengo un tope en el precio máximo por unidad de venta?
47,¿Es compatible un condominio con el monotributo?
47,¿Existe un tratamiento especial para los condominios?
47,¿Los condominios pueden inscribirse en el monotributo?
47,¿Los condóminos pueden ser Monotributistas?
47,¿Puede un condominio ser Monotributista?
47,¿Qué documentación deben presentar los condóminos para inscribirse?
47,¿Se pueden adherir individualmente al monotributo cada condómino de un condominio?
33,¿Estoy obligado a pagar IVA siendo Monotributista?
33,¿Pago el IVA si soy monotributista?
33,En caso de ser monotributista ¿tengo que pagar el impuesto al valor agregado?
33,Si ahora soy monotributista ¿comienzo a pagar iva?
33,Si soy Monotributista ¿Puedo tomar el crédito fiscal?
121,¿Cuándo vence el monotributo?
121,¿Qué día vence el monotributo?
121,¿Siempre vence el mismo día el Monotributo?
158,¿Debo pagar una multa si no tengo la documentación respaldatoria?
158,¿Hay alguna sanción por no tener las facturas de respaldo?
158,¿Me pueden sancionar por no guardar las facturas de respaldo de mis operaciones?
158,¿Qué pasa si no tengo el respaldo de las operaciones que hice?
158,¿Qué pasa si no tengo respaldo de las facturas?
158,¿Sancionan por no guardar los comprobantes de las operaciones que realicé?
157,¿Debo pagar una multa si no muestro la documentación en mi local?
157,¿Hay alguna sanción por no exhibir el comprobante en el local?
157,¿Me pueden sancionar por no mostrar el comprobante?
157,¿Podría ser motivo de multa si no tengo a la vista el comprobante?
157,¿Qué pasa si no muestro mi información de Monotributo en mi negocio?
157,¿Sancionan por no exhibir el comprobante?
79,¿Cuáles son las consecuencia de una recategorización errónea?
79,¿Qué pasa si me recategorizo de manera incorrecta?
79,¿Qué penalidad y cómo se continuará  para el caso de una recategorización inexacta?
79,¿Qué tipo de sanción y el procedimiento a realizar en caso que la recategorización efectuada sea inexacta?
79,¿Tengo que pagar una sanción si me recategoricé mal?
79,"Para el caso de recategorización inexacta, ¿Cuáles son las sanciones y  los pasos a seguir?"
51,¿Las sucesiones indivisas deben hacer aportes jubilatorios?
51,¿Las sucesiones indivisas monotributistas deben abonar algo más que el componente impositivo?
51,¿Qué conceptos deben abonar las sucesiones indivisas?
51,¿Qué deben ingresar las sucesiones indivisas monotributistas?
51,"¿Si una sucesión indivisa está adherida al monotributo, qué debe abonar?"
51,"Además del componente impositivo, ¿qué deben ingresar las sucesiones indivisas adheridas al monotributo?"
11,¿Cuánto tengo que pagar de Monotributo?
11,¿Difiere el importe del monotributo de acuerdo a la categoría?
11,¿La cantidad a abonar es conforme a la categoría del monotributo?
11,¿Se paga diferente importe de acuerdo a la categoría de Monotributo?
11,"De acuerdo a mi categoría, ¿cuánto pago?"
126,¿Cuáles son las entidades bancarias habilitadas para el pago del VEP?
126,¿Cuáles son los bancos habilitados para el pago con VEP?
126,¿Dónde encuentro el listado de bancos que cobran el VEP?
126,¿Dónde pago el VEP?
122,¿Con qué puedo pagar el Monotributo?
122,¿Cuáles son los medios disponibles para pagar el monotributo? 
122,¿Desde dónde pago el Monotributo?
60,¿Cuándo se debe sustituir la credencial de pago?
60,¿En qué casos se modifica la credencial de pago?
60,¿La sustitución de la credencial de pago puede estar relacionada con las modificaciones en el CUR?
60,¿Qué datos pueden llevar a tener que sustituir la credencial de pago?
60,"Si cambio de obra social, ¿se necesitará cambiar la credencial de pago?"
60,Si realizo algunos cambios en el Monotributo ¿Cambia también la credencial de pago?
154,¿Cuáles son las excepciones de la emisión de comprobantes electrónicos?
154,¿Es obligatorio que emita el comprobante electrónico con esa operación?
154,¿Hay algún tipo de factura que puede no hacerse electrónicamente?
154,¿Qué operaciones no requieren la emisión de comprobante electrónico?
154,"¿Todos los comprobantes ""C"" deben hacerse electrónicamente?"
153,¿Cuáles son los comprobantes que tengo obligación de emitir electrónicamente?
153,¿Cuáles son los comprobantes que tengo que presentar obligatoriamente de forma electrónica?
153,¿Debo emitir todos mis comprobantes en forma electrónica?
153,¿Qué comprobantes debo emitir si o si de manera electrónica?
153,¿Qué comprobantes hay que emitir electrónicamente?
153,"¿Todos los tipos de comprobantes deben emitirse electrónicamente?"
75,¿Cuáles son los parámetros que influyen en la recategorización?
75,¿Qué cosas debo tener en cuenta al momento de la recategorización?
75,¿Qué parámetros debo tener en cuenta para recategorizarme?
75,¿Qué parámetros se tienen que considerar en la recategorización?
75,¿Qué variables se debe considerar en la recategorización?
75,"En la recategorización, ¿Qué parámetros se tienen que considerar?"
45,¿Cómo es la inscripción en el Monotributo en el caso de un condómino?
45,¿Cómo un condómino puede ser monotributista?
45,¿Es posible que un condómino se inscriba en el monotributo? ¿Cómo?
45,¿Qué pasos se deben seguir para adherir un condómino al monotributo?
45,¿Qué requisitos se necesitan seguir para hacer que un condómino sea monotributista?
45,¿Qué trámite debe realizar un condómino para ser Monotributista?
91,¿Cuáles son los pasos a seguir  para poder inscribirse en el Régimen de Monotributo?
91,¿Cuáles son los requerimientos necesarios para poder inscribirse en el Régimen de Monotributo?
91,¿Debo cumplir con ciertos requisitos para ser Monotributista?
91,¿Qué requisitos debe cumplir una persona para darse de alta en el Monotributo?
91,¿Qué requisitos se deden cumplir para poder inscribirse en el Régimen de Monotributo?
91,¿Qué se necesita para poder inscribirse en el Régimen de Monotributo?
72,¿Cada cuánto tiempo hay que recategorizarse?
72,¿Cuándo me debo recategorizar?
72,¿En qué fecha debo realizar la recategorización?
72,¿En qué momento se puede llevar a cabo la recategorización?
72,¿En qué tiempo se debe realizarse la recategorización?
72,¿En qué tiempo se puede llevar a cabo la recategorización?
72,¿Hay una fecha establecida para recategorizarme?
72,¿Me puedo recategorizar cuando quiero?
118,¿Cuándo pago el primer mes de monotributo?
118,¿Cuándo tengo que pagar la primer cuota del monotributo?
118,¿El mismo mes en que me doy de alta en el Monotributo debo pagarlo?
53,¿Cuándo pago por primera vez al darme de alta el Monotributo?
53,¿Cuánto tiempo me dan para hacer el primer pago al monotributo una vez inscripto?
53,¿Debo pagar el monotributo el día en que me doy de alta?
53,¿El mismo mes en que me inscribo debo pagar?
53,"Una vez iniciadas las actividades del monotributo, ¿hasta cuándo tengo para realizar el primer pago?"
53,"Una vez inscripto, ¿cuándo debo pagar el monotributo por primera vez?"
74,¿Dónde podrá consultar el monotributista si tiene datos inconsistentes ?
74,¿Dónde puedo ver mis inconsistencias en el Monotributo?
74,¿Dónde se podrá consultar el monotributista si tiene datos erróneos?
74,¿En qué sitio podrá consultar el monotributista si tiene  datos inconsistentes?
74,¿En qué sitio podrá consultar el monotributista si tiene inconsistencias?
85,¿Dónde veo los motivos por los cuales se me recategorizó de oficio?
85,¿En qué lugar se podrán consultar los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?
85,¿En qué sitio se puede buscar sobre los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?
85,¿Está disponible un sitio donde se pueda buscar sobre los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?
85,¿Existe un lugar donde se pueda consultar las razones de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?
85,¿Tengo acceso a las causales de la recategorización de oficio?
109,¿Debo presentar la declaración jurada del impuesto a ganancias?
109,¿En qué casos siendo monotributista debo presentar la declaración jurada del impuesto a las ganancias?
109,¿Un monotributista debe pagar Impuesto a las Ganancias?
78,¿Cuándo estoy obligado a recategorizarme?
78,¿En qué casos los monotributistas no están obligados a realizar la recategorización?
78,¿En qué casos los monotributistas se encuentran exceptuados de recategorizarse?
78,¿En qué situaciones los monotributistas no deben recategorizarse?
71,¿Es obligatoria la recategorización?
78,¿Qué deben cumplir los monotributistas para no efectuar la recategorización?
78,¿Todos los monotributistas deben recategorizarse?
18,¿Cuándo tengo que tener en cuenta el parámetro de la electricidad?
18,¿El parámetro de la energía eléctrica se considera en la categorización de todas las actividades?
18,"¿En qué caso no debo considerar declarar la ""energía eléctrica?"
18,¿Qué actividades no consideran el parámetro de la energía electrica?
18,¿Siempre se tienen en cuenta todos los parámetros del Monotributo?
19,¿Cuándo hay que tener en cuenta la superficie afectada?
19,"¿En qué caso no se considera la ""superficie afectada""?"
19,¿es obligatorio tener en cuenta el parámetro de superficie afectada?
18,¿Siempre se tienen en cuenta todos los parámetros del Monotributo?
19,El parámetro de superficie afectada ¿se tiene en cuenta en todas las actividades?
82,¿Cuándo me puede recategorizar AFIP?
82,¿En qué casos se continuará con la recategorización de oficio?
82,¿Qué debe suceder para continuar a la recategorización de oficio?
82,¿Qué se debe cumplir para continuar con la recategorización de oficio?
82,¿Qué se debe cumplir para proceder a la recategorización de oficio?
82,¿Recategorización de oficio significa que AFIP me recategoriza?
82,Si hice mal mi recategorización ¿Puede AFIP volver a recategorizarme?
7,¿Es posible inscribirse al monotributo otra vez si me eliminaron por falta de pago?
7,¿Me puedo adherir de nuevo al haberme dado de baja por falta de pago?
7,¿Puedo volver a darme de alta en el Monotributo si me dieron la baja por falta de pago?
7,"Si me dieron de baja automáticamente, ¿me puedo dar de alta otra vez?"
7,Si me dieron de baja por falta de pago ¿Cómo me doy de alta nuevamente?
14,¿Cómo puedo saber qué categoría me corresponde cuando me inscribo en el Monotributo?
14,¿Cómo sé a qué categoría de monotributo corresponde mi actividad?
14,¿En qué categoría me debo inscribir cuando inicio una actividad?
14,Al iniciar una actividad ¿qué tengo que tener en cuenta para determinar la categoría?
14,"Cuando me inscriba al monotributo, ¿en base a qué elijo la categoría?"
36,¿A qué lugar debo concurrir para solicitar el CUIT?
36,¿Dónde debo solitar la CUIT?
36,¿En qué lugar debo tramitar mi CUIT?
36,"Para solicitar el CUIT personalmente, ¿a dónde tengo que ir?"
36,"Si envío un tercero, ¿a dónde debe ir para obtener mi CUIT?"
36,"Si quiero obtener el CUIT, ¿a dónde debo dirigirme?"
36,Si quiero solicitar el CUIT de manera personal ¿Dónde debo hacerlo?
1,¿Con qué motivos me pueden dejar fuera del Monotributo?
1,¿Cuáles son las causales de exclusión del Monotributo?
1,¿Cuándo puedo llegar a quedar excluido?
1,¿Puedo quedar excluido del Monotributo?¿Porqué?
1,¿Puedo quedar fuera del Monotributo?
35,¿La solicitud del CUIT es un trámite personal?
35,¿Para obtener el cuit es necesario que vaya yo o puede enviar a alguien?
35,¿Para sacar el CUIT puede ir alguien más a sacármelo?
35,¿Puede ir otra persona a sacarme el CUIT?
35,¿Puede un tercero generar mi CUIT?
35,¿Puedo delegar el trámite de solicitud de CUIT?
35,¿Tengo que ir yo necesariamente a hacer el trámite para obtener el CUIT? ¿No puede ir otra persona en mi nombre?
35,Para generar el CUIT ¿Puede hacerlo otra persona en mi nombre?
10,¿Es posible darme de baja con una fecha anterior?
10,¿Existe la posibilidad de darme de baja del Monotributo con fecha de varios meses atrás?
10,¿Hasta qué fecha anterior puedo darme de baja?
10,¿Puedo darme de baja con retroactividad?
10,¿Se puede tramitar una baja con una fecha anterior?
149,¿Debo registrar todas mis operaciones?
149,¿Dónde informo el registo de todos mis comprobantes?
149,¿Dónde informo todos los comprobantes que emito?
149,¿Es optativo llevar un control de las opraciones que realizo?
149,¿Mis operaciones deben estar registradas de alguna manera?
149,¿Tengo que llevar cuenta de todos las facturas que emito o recibo?
23,¿Cuántos empleados puedo tener?
23,¿Debo tener cierta cantidad de empleados de acuerdo a la categoría de monotributista que soy?
23,¿Existe un límite en la cantidad de empleados según la categoría?
23,¿Hay un límite de empleados que puedo tener siendo Monotributista?
23,¿Qué cantidad de empleados puedo tener?
38,¿Es permitido que una sociedad se inscriba en el monotributo?
38,¿Pueden adherirse al Monotributo las SA?
38,¿Pueden adherirse al Monotributo las SRL?
38,¿Puedo inscribir mi SRL al monotributo?
38,"¿Si una sociedad con fines de lucro quiere sumarse al monotributo, puede?"
38,"Si tengo una SA, ¿la puedo inscribir en el monotributo?"
38,"Una sociedad, con o sin fines de lucro ¿Puede inscribirse en el monotributo?"
117,¿Con qué formulario tengo que pagar en efectivo?
117,¿Cuál es el formulario para el pago en efectivo?
116,¿Puedo pagar en efectivo? 
150,¿Cuánto tiempo debo conservar los comprobantes y documentos?
150,¿Cuánto tiempo debo conservar los papeles de operaciones relacionadas a mi actividad?
150,"¿Cuántos años debo mantener los comprobantes, documentos y facturas?"
150,¿Es obligatorio conservar mis comprobantes?
150,¿Por cuánto tiempo tengo que guardar mis facturas?
150,¿Tengo que guardar los comprobantes que emito?
92,¿Cuáles actividades se encuentran excluidas del monotributo?
92,¿Cuáles son las actividades que no puedo realizar si quiero ser Monotributista?
92,¿Existen  actividades que no están contempladas del monotributo?
92,¿Puedo realizar cualquier actividad siendo Monotributista?
92,¿Qué actividades se encuentran exceptuadas del monotributo?
92,¿Qué ocupaciones se encuentran exceptuadas del monotributo?
145,¿Debo otorgar algún comprobante particular?
145,¿Es lo mismo emitir cualquier tipo de comprobante?
145,¿Qué clase de comprobante emito?
145,¿Qué letras de comprobantes puede hacer un Monotributista?
145,¿Qué tipo de comprobante tengo que dar?
145,¿Qué tipos de comprobantes puedo hacer?
