IUCA,Texto Consulta AFIP
130,"En caso de solicitar la baja en el régimen, ¿a partir de que período cesa la obligación de pago?"
131,¿Qué conceptos deberán abonar los asociados a Cooperativas de Trabajo?
132,"Si la cooperativa de trabajo se encuentra inscripta en el Registro Nacional de Efectores de Desarrollo Local y Economía Social, ¿existe algún tratamiento especial?"
133,¿Cómo deben realizar el pago anual los sujetos adheridos al Régimen de Inclusión Social y Promoción del Trabajo Independiente?
134,¿Cómo se reimprime la credencial de pago?
135,¿Cómo se puede regularizar la deuda de Monotributo de períodos posteriores a 07/2004?
136,¿Cómo reafectar pagos imputados erróneamente?
137,¿A partir de qué período figura la información en el servicio CCMA?
138,¿Qué efectos producen las deudas que figuran en el sistema?
139,¿Qué operaciones se pueden realizar dentro del servicio CCMA?
140,¿Cómo debo plantear las discrepancias con este sistema?
141,Si aplico los beneficios previsionales establecidos en la Ley 25.321 ¿puedo visualizar los mismos en el servicio CCMA?
142,¿Qué métodos de facturación se pueden utilizar?
143,¿Quiénes se encuentran obligados a emitir comprobantes de forma manual?
144,¿Qué documentación se deberá exhibir en los locales?
145,¿Qué comprobantes debe emitir un monotributista?
146,"Ante inconvenientes con el uso del Controlador Fiscal, ¿cómo se emitirán los comprobantes?"
147,¿Qué letra deben contener las facturas de exportación?
148,¿Qué comprobantes deben contener el Código de Barras?
149,¿Estoy obligado a registrar mis operaciones?
150,¿Por cuánto tiempo deben conservarse los comprobantes emitidos y recibidos?
151,¿Qué letra deben contener los remitos?
152,¿Qué sujetos se encuentran exceptuados de emitir comprobantes electrónicos?
153,¿Cuáles son los comprobantes alcanzados a la obligación de emisión electrónica?
154,¿Cuáles son las operaciones excluidas de la obligación de emisión de comprobantes electrónicos?
155,De encontrarse adherido al régimen de inclusión social y promoción del trabajo independiente ¿Qué tipo de factura debe emitir?
156,"¿Qué tipo de factura deben de emitir los monotributistas inscriptos baja la condición ""efector social""?"
157,¿Cuál es la sanción por no exhibir la documentación correspondiente en el local?
158,¿Cuál es la sanción en caso de no poseer las facturas de respaldo de las operaciones realizadas?
159,¿Qué sucede si las operaciones no se encuentran respaldadas por las respectivas facturas?
