IUCA,Texto Respuesta AFIP
10,"Únicamente las obligaciones correspondientes a los Regímenes de Monotributo (020 y 021) podrán darse de baja, por Internet en forma retroactiva, desde el mes y año de inicio de actividad.
Asimismo, los contribuyentes podrán concurrir a la dependencia en la cual se encuentran inscriptos a efectos de solicitar la baja solo en situaciones especiales.
Los impuestos y/o regímenes no incluidos anteriormente podrán darse de baja desde el mes y el año corriente o el mes inmediato anterior, al de la fecha de solicitud de baja.
Adicionalmente, aquellos sujetos adheridos al régimen de Monotributo con anterioridad a 01/2017 solo podrán seleccionar como período máximo 01/2017.
Posteriormente se deberá verificar la posibilidad de solicitar la retroactividad de dicha baja en la agencia AFIP donde se encuentra inscripto mediante la presentación del F.206 Multinota.

Fuente: AFIP"
11,"Para conocer las categorías e importes a pagar para cada una de ellas ingrese aquí.

Fuente: Art. 8 y 11 Ley 26.565 - RG 4309/18"
12,"El régimen reemplaza el pago de los impuestos a las ganancias y al valor agregado, y contempla las cotizaciones previsionales y de salud.

Fuente: Art. 6 Ley 26.565"
13,"Se encuentran exceptuados de ingresar las cotizaciones al régimen de la seguridad social, los siguientes sujetos:

. Los menores de 18 años de edad.
. Los trabajadores autónomos que al 15 de julio de 1994 fueren beneficiarios de prestaciones de jubilación ordinaria o por edad avanzada, o a esa fecha reunieren los requisitos para obtener dichos beneficios.
· Los profesionales universitarios que por esa actividad se encontraren obligatoriamente afiliados a uno o más regímenes provinciales para profesionales.
· Los sujetos que simultáneamente se encuentren realizando una actividad en relación de dependencia y aporten en tal carácter al régimen nacional o a algún régimen provincial previsional.
. Locadores de bienes muebles o inmuebles (en tanto a tales fines no se encuentren organizados en forma de empresa).
. Sucesiones indivisas, continuadoras de los sujetos adheridos al régimen, que opten por la permanencia en el mismo.

Fuente: Art. 40 Ley 26.565 y Art. 13 RG 4309/18"
14,"En el caso de iniciación de actividades, el pequeño contribuyente deberá encuadrarse en la categoría que le corresponda de conformidad a la magnitud física referida a la superficie que tenga afectada a la actividad y, en su caso, al monto pactado en el contrato de alquiler respectivo. De no contar con tales referencias se categorizará inicialmente mediante una estimación razonable.
Transcurridos 6 meses, deberá proceder a anualizar los ingresos brutos obtenidos, la energía eléctrica consumida y los alquileres devengados en dicho período, a efectos de confirmar su categorización o determinar su recategorización o exclusión del régimen, de acuerdo con las cifras obtenidas, debiendo, en su caso, ingresar el importe mensual correspondiente a su nueva categoría a partir del segundo mes siguiente al del último mes del período indicado.
Hasta tanto transcurran 12 meses desde el inicio de la actividad, se deberán anualizar los ingresos brutos obtenidos, la energía eléctrica consumida y los alquileres devengados en cada cuatrimestre.

Fuente: Art. 12 Ley 26.565"
15,"A los efectos del presente régimen, se consideran ingresos brutos obtenidos en las actividades, al producido de las ventas, locaciones o prestaciones correspondientes a operaciones realizadas por cuenta propia o ajena, excluidas aquellas que hubieran sido dejadas sin efecto y neto de descuentos efectuados de acuerdo con las costumbres de plaza.
Los ingresos brutos considerados son los devengados en el período.
Dichos ingresos, comprenden a los impuestos nacionales, excepto los que se indican a continuación:
a) Impuesto interno a los cigarrillos.
b) Impuesto adicional de emergencia a los cigarrillos.
c) Impuesto sobre los Combustibles Líquidos y al Dióxido de Carbono.
No se considera ingreso bruto el derivado de la realización de bienes de uso, entendiendo por tales aquéllos cuyo plazo de vida útil sea superior a dos años, en tanto hayan permanecido en el patrimonio del contribuyente adherido al monotributo, como mínimo, doce meses desde la fecha de habilitación del bien.
Por último, no se computarán como ingresos brutos los provenientes de:
a) Cargos públicos,
b) trabajos ejecutados en relación de dependencia,
c) jubilaciones, pensiones o retiros correspondientes a alguno de los regímenes nacionales o provinciales,
d) el ejercicio de la dirección, administración, conducción de las sociedades no comprendidas en el monotributo comprendidas y no adheridas al mismo,
e) las prestaciones e inversiones financieras, compraventa de valores mobiliarios y de participaciones en las utilidades de cualquier sociedad no incluida en el mismo.
Respecto a los ingresos provenientes de las actividades mencionadas, deberá cumplirse, de corresponder, con las obligaciones y deberes impositivos y previsionales establecidos por el régimen general vigente.

Fuente: Art. 3 Ley 26.565, Arts. 9, 10, 11 y 12 Decreto 1/2010"
16,"En función de la actividad principal, pero sumando los ingresos brutos de todas. Asimismo, no puede exceder de 3 actividades.

Fuente: Art. 3 Ley 26.565"
17,"Se deberán computar solamente los ingresos brutos obtenidos por las actividades incluidas en el Régimen Simplificado.

Fuente: Art. 12 Decreto 1/2010"
18,"El parámetro energía eléctrica consumida no debe ser considerado en las actividades que se señalan a continuación:
- Lavaderos de automotores.
- Expendio de helados.
- Servicios de lavado y limpieza de artículos de tela, cuero y/o de piel, incluso la limpieza en seco, no industriales.
- Explotación de kioscos (polirrubros y similares).
- Explotación de juegos electrónicos, efectuada en localidades cuya población resulte inferior a 400.000 habitantes, de acuerdo con los datos oficiales publicados por el Instituto Nacional de Estadística y Censos (I.N.D.E.C.), correspondientes al último censo poblacional realizado.

Fuente: Art. 16 y Anexo II RG 4309/18"
19,"El parámetro superficie afectada a la actividad no debe ser considerado en las actividades que se señalan a continuación:

- Servicios de playas de estacionamiento, garajes y lavaderos de automotores.
- Servicios de prácticas deportivas (clubes, gimnasios, canchas de tenis y ""paddle"", piletas de natación y similares).
- Servicios de diversión y esparcimiento (billares, ""pool"", ""bowling"", salones para fiestas infantiles, peloteros y similares).
- Servicios de alojamiento u hospedaje prestados en hoteles, pensiones, excepto en alojamientos por hora.
- Explotación de carpas, toldos, sombrillas y otros bienes, en playas o balnearios.
- Servicios de ""camping"" (incluye refugio de montaña) y servicios de guarderías náuticas.
- Servicios de enseñanza, instrucción y capacitación (institutos, academias, liceos y similares), y los prestados por jardines de infantes, guarderías y jardines materno-infantiles.
- Servicios prestados por establecimientos geriátricos y hogares para ancianos.
- Servicios de reparación, mantenimiento, conservación e instalación de equipos y accesorios, relativos a rodados, sus partes y componentes.
- Servicios de depósito y resguardo de cosas muebles.
- Locaciones de bienes inmuebles.
Tampoco será de aplicación el parámetro de superficie afectada a la actividad en zonas urbanas, suburbanas o rurales de las ciudades o poblaciones de hasta 40.000 habitantes.

Fuente: Art. 16, Anexo II RG 4309/18 y Art. 10 Ley 26.565"
20,"Se considera actividad principal a la de mayores ingresos brutos.
Fuente: Art. 3 Ley 26.565"
21,"Se considerará exclusivamente como magnitud física a la superficie afectada y a la energía eléctrica consumida en dicha actividad, como asimismo el monto proporcional del alquiler devengado. Si existe un único medidor se presume que se afectó el 20 % a la actividad gravada, de tratarse de una actividad de alto consumo energético se presume que el gasto es del 90 %, salvo prueba en contrario.

Fuente: Art. 9 Ley 26.565"
22,"La actividad primaria y la prestación de servicios sin local fijo, se categorizarán exclusivamente por el nivel de ingresos brutos.
Fuente: Art. 9 Ley 26.565"
23,"No existe una cantidad máxima de empleados que pueda tener un monotributista.

Fuente: CIT AFIP"
24,"El parámetro alquileres devengados referido al inmueble en el que se desarrolla la actividad por la que el pequeño contribuyente adhirió al régimen, comprende toda contraprestación -en dinero o en especie- derivada de la locación, uso, goce o habitación -cualquiera sea la denominación que se le otorgue- de dicho inmueble, así como los importes correspondientes a sus complementos (mejoras introducidas por los arrendatarios o inquilinos, la contribución directa o territorial y otros gravámenes o gastos que haya tomado a su cargo, y el importe abonado por el uso de muebles y otros accesorios o servicios que suministre el propietario).
A tales efectos deberá entenderse por mejoras todas aquellas erogaciones que no constituyan reparaciones ordinarias que hagan al mero mantenimiento del bien.
Por lo tanto, y dado que los gastos de luz, gas y teléfono no constituyen una contraprestación que integra el precio pactado sino que tienen su causa en el consumo que hace el locatario por tales servicios, no integrarían el parámetro ""alquileres devengados"".
Fuente: Art. 20 Decreto 1/2010"
25,"Por los ingresos correspondientes al ejercicio de la dirección, administración, conducción de las sociedades no comprendidas en el Régimen Simplificado o comprendidas y no adheridas al mismo, deberá cumplirse con las obligaciones previsionales establecidas por el régimen general vigente, sin perjuicio de lo cual deberán ingresarse, de corresponder, las cotizaciones previsionales correspondientes al Monotributo por la actividad allí comprendida.

Fuente: CIT AFIP"
26,"La acepción del término fabricación sería la de construir objetos en serie. En este caso, la eventual fabricación de un mueble a pedido estaría contemplado como una locación de obra.

Fuente: CIT AFIP"
27,"El precio máximo unitario de venta -sólo en los casos de venta de cosas muebles- es de $29.119,56.

Fuente: Art 149 Ley 27.430"
28,"No, ya que una de las condiciones para ser monotributista es que no realice importaciones de cosas muebles para su comercialización posterior y/o de servicios con idénticos fines, durante los últimos doce (12) meses calendario.

Fuente: Art. 2 Ley Nº 25.865"
29,"Si, resulta aplicable la alícuota del 27% para las prestaciones de servicios públicos recibidas por los monotributistas.
Fuente: Art. 28 Ley Nº 23.349"
30,"Se entiende como unidad de explotación entre otras, cada espacio físico (local, establecimiento, oficina, etcétera) donde se desarrolle la actividad y/o cada rodado, cuando este último constituya la actividad por la cual se solicita la adhesión al monotributo (taxímetros, remises, transporte, etcétera.), inmueble en alquiler o cada condominio comprendido en el régimen del que forma parte el pequeño contribuyente.

Se entiende por actividad económica las ventas, obras, locaciones y/o prestaciones de servicios, que se realicen dentro de un mismo espacio físico, así como las actividades desarrolladas fuera de él con carácter complementario, accesorio o afín y las locaciones de bienes muebles e inmuebles. Asimismo, reviste el carácter de actividad económica aquella por la que para su realización no se utilice un local o establecimiento.


Fuente: Art. 17 Decreto 1/10"
31,"Las cargas de familia, si correspondieran, serán computables en su totalidad, excepto cuando ocurran o cesen las causas que determinen su cómputo (nacimiento, casamiento, defunción, etc.), en cuyo caso las deducciones se harán efectivas por períodos mensuales

Fuente: Arts. 23 y 24 Ley 20.628 y Art.75 RG 4309/18"
32,"La adhesión al Monotributo implica para el sujeto adherido, la baja automática del carácter de responsable inscripto en el IVA.
Asimismo, en el régimen instaurado por la Ley 26.565 no existe norma alguna que disponga el reintegro del crédito fiscal de las existencias de bienes a la fecha en que produce efectos el cambio de responsable inscripto en IVA al Monotributo.
Fuente: Ley Nº 26.565 y Decreto Nº 1/2010"
33,"Cuando un responsable inscripto realice ventas, locaciones o prestaciones de servicios gravadas a consumidores finales, no deberá discriminar en la factura o documento equivalente el gravamen que recae sobre la operación.
El mismo criterio se aplicará con sujetos cuyas operaciones se encuentran exentas.
Las operaciones de los monotributistas se encuentran exentas del impuesto a las ganancias y del impuesto al valor agregado.

Fuente: Art. 39 Ley 23.349 y Art. 6 Anexo Ley 24.977"
34,"Si el monotributista continúa desarrollando actividades que no se incluyan en el régimen simplificado, corresponderá recalcular el impuesto determinado, sin considerar las ganancias atribuibles a la actividad por la que adhirió al Monotributo, a fin de establecer la nueva base de cálculo de los anticipos y el importe de los mismos.
Fuente: Art. 73 RG 4309/18"
35,"El trámite de solicitud de CUIT puede ser realizado tanto en forma personal como con la intervención de un tercero, en caso de haber optado por el trámite presencial.
Si lo hace en forma personal, debe firmar el F460/F ante el funcionario de AFIP, quién actuará como autoridad certificante.
Si es a través de un tercero, el formulario F3283 deberá contener la certificación de la firma del titular, responsable o persona autorizada, mediante la intervención de entidad bancaria, autoridad policial o escribano.
Fuente: AFIP"
36,"De optar por el trámite presencial, el mismo debe realizarse en la dependencia de la AFIP que le corresponde de acuerdo a su domicilio fiscal.
Fuente: Art. 4 RG 4309/16"
37,"Las personas humanas para solicitar su número de CUIT deberán presentar el formulario 460/F por duplicado, en la dependencia de la AFIP que le corresponde de acuerdo a su domicilio fiscal.

El formulario será acompañado de los elementos que, según el sujeto de que se trate, se indican a continuación:

1. Argentinos nativos o naturalizados y extranjeros: fotocopia del documento nacional de identidad. Excepto las personas mayores de 75 años de edad al 31/12/2014 y los incapaces declarados judicialmente, quienes podrán presentar libreta cívica o de enrolamiento.

2. Extranjeros que no posean documento nacional de identidad: fotocopia de la cédula de identidad, o del certificado o comprobante que acredite el número de expediente asignado por la Dirección Nacional de Migraciones, donde conste el carácter de su residencia

El otorgamiento de la CUIT a los extranjeros está sujeto a las condiciones de la RG 3890/94

Además, se deberán presentar al menos una de las siguientes constancias de domicilio en original y fotocopia según corresponda:

a. Documento nacional de identidad argentino.

b. Certificado de domicilio expedido por autoridad competente.

c. Acta de constatación notarial.

d. Comprobante de un servicio a nombre del contribuyente o responsable.

e. Título de propiedad o contrato de alquiler o de ""leasing"", del inmueble cuyo domicilio se denuncia.

f. Extracto de cuenta bancaria o del resumen de tarjeta de crédito, cuando el solicitante sea el titular de tales servicios.

g. Habilitación o autorización municipal equivalente, cuando la actividad del solicitante se ejecute en inmuebles que requieran de la misma.

h. Certificado de Vivienda Familiar emitido por la Agencia de Administración de Bienes del Estado, entregado por la Administración Nacional de la Seguridad Social (ANSES).

i. Estatuto o contrato social y, en su caso, el acta de directorio o del instrumento emanado del órgano máximo de la sociedad, o instrumento constitutivo inscripto y actualizado, en los casos que el domicilio fiscal declarado coincida con el domicilio legal obrante en el citado documento.
En situaciones especiales o cuando por circunstancias particulares el solicitante no pudiera aportar ninguno de los elementos detallados, la dependencia interviniente podrá aceptar otros documentos o comprobantes que, a su criterio, acrediten fehacientemente el domicilio fiscal denunciado.
Los sujetos cuyo domicilio fiscal declarado y obrante en su documento nacional de identidad coincida con el de su madre, padre, tutor o apoderado, podrán aportar los elementos citados en los puntos d., e. y f., aún cuando los mismos figuren a nombre de estos últimos, siempre que se acompañe complementariamente la partida de nacimiento o el documento que acredite la tutela o poder, según el caso.
Aclaración: las fotocopias de la documentación deberán estar suscriptas por el responsable y certificadas por escribano público, para su exhibición. En reemplazo de las mismas, en las condiciones dispuestas precedentemente, podrán ser exhibidos los respectivos originales.
Adicionalmente, este Organismo requerirá a las personas humanas que actúen por sí o como apoderados o representantes legales de personas humanas o jurídicas, el registro digital de la fotografía, firma y huella dactilar, así como la exhibición del documento de identidad para ser ""escaneado"".
La registración de los datos biométricos no se considerará perfeccionada hasta tanto se ratifique la fotografía, la firma y el documento de identidad ""escaneado"", a través de la página web www.afip.gob.ar ingresando al servicio con clave fiscal ""Aceptación de datos biométricos"".

Fuente: Art. 3 RG 10/97 y Art. 3 RG 2811/10"
38,"No, las sociedades no se encuentran contempladas en el régimen

Fuente: CIT AFIP"
39,"Las personas físicas de nacionalidad extranjera, residentes en el país, que no posean DNI, a efectos de obtener la CUIT para inscribirse en el Monotributo, deberán exhibir cédula de identidad, pasaporte o certificado de la Dirección Nacional de Migraciones.
En el caso planteado en el párrafo anterior se entiende que son residentes quienes posean algún tipo de residencia (permanente, temporaria, transitoria, precaria, etc.) para poder ejercer actividad en el país.
Cabe aclarar que de tratarse de un extranjero, cuyo país de nacimiento sea Bolivia o Perú, deberá seguir el procedimiento establecido por la RG 654/99.
Fuente: Art.2 RG 3890/94 y Art. 2 RG 654/99"
40,"En la medida que la actividad encuadrada en el Monotributo cumpla con los requisitos para optar por el régimen, puede mantener la inscripción en el mismo.
Por otra parte, ante la situación planteada, podrá mantener su inscripción en el Régimen General por la actividad exenta en IVA - tributando Impuesto a las Ganancias por las rentas obtenidas - , no obstante lo cual deberá considerar la totalidad de los ingresos brutos obtenidos a los efectos de su categorización en el Monotributo así como su consideración para la determinación de la exclusión en el citado régimen, a excepción de los indicados en el párrafo siguiente.
Cuando los ingresos obtenidos por la actividad del Régimen General - exenta en IVA - estén originados en el ejercicio de la dirección, administración, conducción de sociedades no comprendidas en el Monotributo, no deberán computarse a los fines de su categorización, recategorización o exclusión en el mencionado Monotributo. A modo de aclaración, se mencionan las actividades exentas cuyos ingresos brutos no resultan computables:

- Director de SA.

- Socio Gerente de SRL.
Fuente: CIT AFIP"
41,"En el caso de las personas humanas el domicilio fiscal será el lugar en el cual desarrollen efectivamente su actividad. En el supuesto que la actividad no se lleve a cabo en establecimientos o locales fijos o se realice en relación de dependencia, se considerará como domicilio fiscal, el domicilio real del contribuyente o responsable.

Fuente: Art. 3 Ley 11683 y Art. 2 RG 2109/06"
42,"Quienes deban declarar como domicilio fiscal el detallado en su DNI y este coincida con el de su madre/padre/tutor/apoderado, podrán aportar alguna de las siguientes constancias, aún cuando las mismas figuren a nombre estos últimos, acompañando la partida de nacimiento o el documento que acredite la tutela o poder.
- Factura de servicio

- Título de propiedad o contrato de alquiler o de ""leasing"", del inmueble cuyo domicilio se denuncia.

- Extracto bancario o del resumen de tarjeta de crédito.
Para conocer la documentación que se deberá presentar para tramitar el número de CUIT de acuerdo a la vía elegida, verificar el ID 375298 e ID 22550499.
Asimismo, para conocer cómo modificar el domicilio fiscal haga click aquí.

Fuente: Art. 3 RG 10/97"
43,"Para realizar la adhesión al Monotributo se deberá:

1. Acceder al portal ""Monotributo"".

2. Ingresar la CUIT y clave fiscal.

3. Seleccionar el botón ""Comenzar"".

4. Ingresar en la opción ""Darse de alta""

La adhesión consta de los siguientes 5 pasos, en los cuales se deberá seleccionar la opción que corresponda a la situación en particular de cada ciudadano:

Paso 1: Tipo de Monotributo

Se deberá seleccionar alguna de las siguientes opciones:

· Voy a realizar trabajo independiente

· Como miembro de una cooperativa

· Como trabajador promovido

Paso 2: Caracterización de actividades

· Se deberá seleccionar el mes en que se comenzará a desarrollar la/s actividad/es.

· Ingresar el importe de la facturación anual estimada

· Informar si se posee local/oficina/establecimiento para el desarrollo de la/s actividad/es. Dependiendo de la opción seleccionada, se habilitará los campos consumo anual de energía eléctrica del local, si el mismo es alquilado, el monto del alquiler y superficie del inmueble afectada por la actividad.

Paso 3: Aportes de jubilación

Dependiendo de la opción seleccionada en el paso 1 el sistema permitirá seleccionar una de las siguientes opciones:

· Trabajador activo

· Empleado en relación de dependencia

· Jubilado

· Aporto a una caja previsional provincial

· Locador de bienes muebles o inmuebles

Paso 4: Obra social

Dependiendo de la opción seleccionada en el paso 3 el sistema habilitará los siguientes campos a ser completados

· Informar la Obra social

· Seleccionar si sumará los aportes a los aportes del cónyuge.

· En caso de desear agregar miembros de la familiar a la obra social deberá ingresar la CUIL y vínculo familiar.

· Descargar la declaración jurada de salud del decreto 300/97 para ser presentado ante ANSES.

Paso 5: Confirmación de Datos

· El sistema expondrá los datos consignados en los pasos anteriores, los cuales deberán ser confirmados en caso de ser correctos. Finalmente se obtendrá la constancia de inscripción, el formulario 184, la credencial de pago y el formulario 960 Data Fiscal.


Fuente: CIT AFIP"
44,"Se encuentran exceptuados de cumplir dicha obligación, los pequeños contribuyentes inscriptos en el Registro Nacional de Efectores de Desarrollo Local y Economía Social del Ministerio de Desarrollo Social.


Fuente: Art. 3 RG 4309/18"
45,"Para solicitar la inscripción, se deberán tener en cuenta los siguientes pasos:


1 - Solicitar CUIT del condominio para ser informada al momento de la adhesión de los condóminos: Ver ID 126318.


2 - Solicitar CUIT de los condóminos: Ver ID 17561182.


3 - Cada condómino deberá realizar la adhesión desde el portal del Monotributo: Ver ID 11867559.


Es requisito para ejercer la opción, que todos los condóminos a los que resulten atribuibles los ingresos provenientes de la actividad de locación de cosas muebles o inmuebles en condominio, adhieran en forma individual al Monotributo por todas las locaciones del mismo condominio.


Fuente: AFIP"
46,"Para declarar la actividad económica deberá ingresar con CUIT y clave fiscal a través la página web www.afip.gob.ar, al servicio denominado ""Sistema Registral"", seleccionar la opción ""Registro Tributario"" y luego ""Actividades"".

También en dicha opción, se definirá, en caso de registrar más de una actividad, cual será la principal, presionando el botón ""subir"" o ""bajar"" dependiendo del orden de la misma. Se entenderá que será la principal aquella que tenga número de orden 1.

Fuente: Fuente: CIT AFIP"
47,"Los condominios no pueden adherirse al Monotributo desde el 01/06/2018.
No obstante, cada condómino podrá adherir en forma individual al Monotributo en la medida que cumplan con las condiciones previstas para la adhesión, categorización y permanencia en el mismo, considerando la parte que le corresponda sobre los parámetros que resulten aplicables.
Al momento de adhesión se deberá informar el porcentaje atribuible de participación en el condominio, junto a los datos identificatorios que permitan individualizar a este último y a los restantes condóminos integrantes del mismo. A tal efecto, deberá solicitarse previamente la CUIT del condominio para su información al momento de la adhesión de los condóminos.
Es requisito, que todos los condóminos a los que resulten atribuibles los ingresos provenientes de la actividad de locación de cosas muebles o inmuebles en condominio, adhieran en forma individual al Régimen por todas las locaciones del mismo condominio.

Fuente: Art. 2 Anexo Ley 24.977, Art. 5 Dto. 1/10 y Arts. 5 y 7 RG 4309/18"
48,"De acuerdo a su situación particular, deberá de seleccionar alguna de las siguientes opciones:
a) Corresponde ingresar los aportes con destino al Sistema Integrado Previsional Argentino (SIPA) y a la Obra Social:
-Trabajador activo:
b) No corresponde ingresar los aportes con destino al Sistema Integrado Previsional Argentino (SIPA), ni a la Obra Social, por encontrarse contemplado en alguna de las siguientes situaciones:
-Empleado en relación de dependencia: Corresponderá seleccionar esta opción en caso simultáneamente con la actividad por la cual adhieran al Monotributo, se encuentren realizando una actividad en relación de dependencia y aporten en tal carácter al régimen nacional o a algún régimen provincial previsional.
-Jubilado: Ley 18.037/8. Trabajadores autónomos que al 15 de julio de 1994 fueren beneficiarios de prestaciones de jubilación ordinaria o por edad avanzada, o a esa fecha reunieren los requisitos para obtener dichos beneficios.
-Aporto a una caja previsional provincial: En caso de ser profesional universitario y que por esa actividad se encontraren obligatoriamente afiliados a uno o más regímenes provinciales para profesionales.
-Locador de bienes muebles o inmuebles: Cuando se ejerza solo ésta actividad y no se encontrara organizado en forma de empresa.
c) Corresponde ingresar los aportes con destino al Sistema Integrado Previsional Argentino (SIPA) y no a la Obra Social, por ser:
-Jubilado por la Ley 24.241: Trabajadores autónomos que a partir del 15 de julio de 1994 fueren beneficiarios de prestaciones de jubilación ordinaria o por edad avanzada, o a esa fecha reunieren los requisitos para obtener dichos beneficios.

Fuente: Art. 39 y 40 Ley 26.565"
49,"Si de acuerdo a la actividad, no se deben considerar determinados parámetros, los mismos deberán ser informados con valor 1 (uno).


Fuente: CIT AFIP"
50,"La adhesión al Monotributo realizada dentro del mes de inicio de actividades surtirá efectos a partir del día en que se realice la misma.

En el resto de los casos, la adhesión producirá efectos a partir del primer día del mes calendario inmediato siguiente a aquel en que se efectuó la misma.


Fuente: Art. 6 RG 4309/18"
51,"Sólo deberán abonar el componente impositivo, ya que el ingreso de las cotizaciones previsionales fijas se encuentra excluido.

Fuente: Art. 13 RG 4309/18"
52,"La adhesión en esos casos, debe ser solicitada por la cooperativa de trabajo ante AFIP, y en los términos, plazos y condiciones que a tal fin disponga la Administración.

Fuente: Arts. 50 y 51 Ley 26.565"
53,"Los pequeños contribuyentes cumplirán la obligación de pago mensual, hasta el día 20 del respectivo mes, excepto cuando se trate de inicio de actividades, en cuyo caso el pago podrá efectuarse hasta el último día de dicho mes.
Cuando la fecha de vencimiento indicada en el párrafo anterior coincida con día feriado o inhábil, la misma se trasladará al día hábil inmediato siguiente.

Fuente: Art. 35 RG 4309/18"
